Iteration    0 	Loss PDE = 1.102111236758 	Lyap = -4.01e-02
Iteration 1350 	Loss PDE = 0.000161736951 	Lyap = -2.55e-01
Iteration 1400 	Loss PDE = 0.000105778889 	Lyap = -2.57e-01
Iteration 1450 	Loss PDE = 0.000073564956 	Lyap = -2.58e-01
Iteration 1500 	Loss PDE = 0.000055268614 	Lyap = -2.59e-01
Iteration 1550 	Loss PDE = 0.000044914344 	Lyap = -2.60e-01
Iteration 1600 	Loss PDE = 0.000038987716 	Lyap = -2.60e-01
Iteration 1650 	Loss PDE = 0.000035485494 	Lyap = -2.61e-01
Iteration 1700 	Loss PDE = 0.000033297655 	Lyap = -2.61e-01
Iteration 1750 	Loss PDE = 0.000031823743 	Lyap = -2.61e-01
Iteration 1800 	Loss PDE = 0.003057494156 	Lyap = -2.80e-01
Iteration 1850 	Loss PDE = 0.000100040023 	Lyap = -2.59e-01
Iteration 1900 	Loss PDE = 0.000046758247 	Lyap = -2.64e-01
Iteration 1950 	Loss PDE = 0.000040215939 	Lyap = -2.65e-01
Iteration 2000 	Loss PDE = 0.000036557172 	Lyap = -2.65e-01
Iteration 2050 	Loss PDE = 0.000034120322 	Lyap = -2.66e-01
Iteration 2100 	Loss PDE = 0.000032361140 	Lyap = -2.66e-01
Iteration 2150 	Loss PDE = 0.000031012197 	Lyap = -2.66e-01
Iteration 2200 	Loss PDE = 0.000029935857 	Lyap = -2.66e-01
Iteration 2250 	Loss PDE = 0.000029055431 	Lyap = -2.66e-01
Iteration 2300 	Loss PDE = 0.000028323396 	Lyap = -2.66e-01
Iteration 2350 	Loss PDE = 0.000027706980 	Lyap = -2.66e-01
Iteration 2400 	Loss PDE = 0.000027181704 	Lyap = -2.67e-01
Iteration 2450 	Loss PDE = 0.000026728421 	Lyap = -2.67e-01
Iteration 2500 	Loss PDE = 0.000026331867 	Lyap = -2.67e-01
Iteration 2550 	Loss PDE = 0.000025979844 	Lyap = -2.67e-01
Iteration 2600 	Loss PDE = 0.000025662666 	Lyap = -2.67e-01
Iteration 2650 	Loss PDE = 0.000025372716 	Lyap = -2.67e-01
Iteration 2700 	Loss PDE = 0.000025104083 	Lyap = -2.67e-01
Iteration 2750 	Loss PDE = 0.000024852241 	Lyap = -2.67e-01
Iteration 2800 	Loss PDE = 0.000024613768 	Lyap = -2.67e-01
Iteration 2850 	Loss PDE = 0.000024386116 	Lyap = -2.67e-01
Iteration 2900 	Loss PDE = 0.000024167417 	Lyap = -2.67e-01
Iteration 2950 	Loss PDE = 0.000023956317 	Lyap = -2.67e-01
Iteration    0 	Loss PDE = 0.000023623312 	Lyap = -6.70e-01
